level,component,next_assy,description,mass,xchar,ychar,zchar
1,TBL10101-501,,table assembly,12.75,-37.64705882,0,843.1372549
2,TBL10102-501,TBL10101-501,wooden surface assembly,8.1,-59.25925926,0,1030.864198
3,TBL10008-001,TBL10102-501,wood table top,2.5,0,0,1100
3,TBL10103-501,TBL10002-501,ribs collection,6.45,-88.88888889,0,1000
4,TBL10009-001,TBL10103-501,plate rib,0.9,-600,0,1000
4,TBL10009-001,TBL10103-501,plate rib,0.9,-400,0,1000
4,TBL10009-001,TBL10103-501,plate rib,0.9,-200,0,1000
4,TBL10009-003,TBL10103-501,plate rib,1.05,0,0,1000
4,TBL10009-002,TBL10103-501,plate rib,0.9,200,0,1000
4,TBL10009-002,TBL10103-501,plate rib,0.9,400,0,1000
4,TBL10009-002,TBL10103-501,plate rib,0.9,600,0,1000
3,TBL10104-501,TBL10002-501,fasteners_collection,0.2,0,0,1000
4,MS14145L3,TBL10104-501,bolt,0.2,-1000,500,1000
4,MS14145L3,TBL10104-501,bolt,0.2,1000,500,1000
4,MS14145L3,TBL10104-501,bolt,0.2,-1000,-500,1000
4,MS14145L3,TBL10104-501,bolt,0.2,1000,-500,1000
2,TBL10010-001,TBL10101-501,table leg,1.1,-1000,500,500
2,TBL10010-001,TBL10101-501,table leg,1.1,1000,500,500
2,TBL10010-001,TBL10101-501,table leg,1.1,-1000,-500,500
2,TBL10010-001,TBL10101-501,table leg,1.1,1000,-500,500
2,TBL10105-501,TBL10101-501,fasteners_collection,0.25,0,0,800
3,MS14145L4,TBL10105-501,bolt,0.25,0,0,0
3,MS14145L4,TBL10105-501,bolt,0.25,-1000,500,1000
3,MS14145L4,TBL10105-501,bolt,0.25,1000,500,1000
3,MS14145L4,TBL10105-501,bolt,0.25,-1000,-500,1000
3,MS14145L4,TBL10105-501,bolt,0.25,1000,-500,1000
